Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00323	29	5.26864	0.77629	0.785748	0.774078
train_model_raytune_056a6_00324	29	5.23216	0.773684	0.783747	0.773385
train_model_raytune_056a6_00325	9	5.71067	0.751463	0.7472	0.751463
train_model_raytune_056a6_00326	9	5.77076	0.746215	0.761346	0.746211
train_model_raytune_056a6_00327	9	5.79223	0.752154	0.749891	0.746074
train_model_raytune_056a6_00328	9	5.86723	0.743859	0.739894	0.743859
train_model_raytune_056a6_00329	9	6.15439	0.72905	0.733559	0.72905
train_model_raytune_056a6_00330	19	5.46664	0.763536	0.776583	0.763536
train_model_raytune_056a6_00331	29	5.06486	0.779598	0.781926	0.779457
train_model_raytune_056a6_00332	9	5.83654	0.745552	0.747722	0.745552
train_model_raytune_056a6_00333	29	5.24588	0.774394	0.77476	0.774394
train_model_raytune_056a6_00334	19	5.4302	0.764856	0.788395	0.764605
train_model_raytune_056a6_00335	9	5.90886	0.738876	0.741283	0.738876
train_model_raytune_056a6_00336	19	5.45261	0.762985	0.776378	0.762985
train_model_raytune_056a6_00337	29	5.23534	0.777435	0.798913	0.777354
train_model_raytune_056a6_00338	9	5.75598	0.752221	0.752235	0.751731
train_model_raytune_056a6_00339	9	5.93225	0.743481	0.747224	0.743481
train_model_raytune_056a6_00340	9	5.75154	0.747385	0.759398	0.747385
train_model_raytune_056a6_00341	9	6.20931	0.724171	0.731319	0.724171
train_model_raytune_056a6_00342	9	5.95608	0.737466	0.747847	0.737466
train_model_raytune_056a6_00343	9	5.75786	0.74964	0.7524	0.74964
train_model_raytune_056a6_00344	19	5.51381	0.763611	0.772054	0.763611
train_model_raytune_056a6_00345	29	5.21216	0.77311	0.783755	0.773062
train_model_raytune_056a6_00346	9	7.49192	0.635006	0.595758	0.635006
train_model_raytune_056a6_00347	9	5.82675	0.745946	0.750732	0.745946
train_model_raytune_056a6_00348	19	5.39977	0.767478	0.775175	0.767268
train_model_raytune_056a6_00349	9	5.78878	0.748972	0.774623	0.748972
train_model_raytune_056a6_00350	9	5.83666	0.741199	0.755131	0.741199
train_model_raytune_056a6_00351	9	5.94693	0.73626	0.748335	0.73626
train_model_raytune_056a6_00352	9	8.97645	0.563001	0.548214	0.563001
train_model_raytune_056a6_00353	9	5.82446	0.751134	0.753053	0.751134
train_model_raytune_056a6_00354	9	6.51108	0.720279	0.718898	0.720279
train_model_raytune_056a6_00355	19	5.38334	0.768886	0.773732	0.766183
train_model_raytune_056a6_00356	19	5.61978	0.759253	0.75907	0.758276
train_model_raytune_056a6_00357	29	5.21438	0.775454	0.793064	0.775454
train_model_raytune_056a6_00358	9	5.90131	0.750406	0.753319	0.744535
train_model_raytune_056a6_00359	29	5.29617	0.772155	0.772592	0.772095
train_model_raytune_056a6_00360	9	6.55519	0.702023	0.704291	0.702023
train_model_raytune_056a6_00361	9	5.80749	0.745649	0.74719	0.745649
train_model_raytune_056a6_00362	29	5.31627	0.770631	0.787773	0.769647
train_model_raytune_056a6_00363	9	5.80358	0.742666	0.75353	0.742666
train_model_raytune_056a6_00364	9	5.92041	0.741633	0.744267	0.741633
train_model_raytune_056a6_00365	19	5.42762	0.76514	0.782199	0.76514
train_model_raytune_056a6_00366	9	6.0939	0.734812	0.732322	0.7314
train_model_raytune_056a6_00367	9	5.94657	0.741117	0.743357	0.741117
train_model_raytune_056a6_00368	19	5.52245	0.765492	0.778089	0.762068
train_model_raytune_056a6_00369	9	6.53457	0.69547	0.708824	0.69547
train_model_raytune_056a6_00370	19	5.58775	0.760873	0.777873	0.759931
train_model_raytune_056a6_00371	29	5.1241	0.777491	0.782179	0.777491
train_model_raytune_056a6_00372	9	5.87862	0.741311	0.753621	0.741311
